date,building_id,building_name,country,strategy,battery_type,eu_compliant,avg_soc_start_percent,avg_soc_end_percent,charge_kwh,discharge_kwh,pv_generation_kwh,round_trip_efficiency_percent,daily_net_savings_eur,daily_co2_avoided_kg,battery_health_percent,total_cycles_cumulative,total_cost_avoided_eur,total_co2_avoided_kg
2023-02-13,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,145.69,122.42,124.46,94.5,42.7297,46.5178,99.95,30.0603,2089.7609,2284.5972
2023-02-14,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,138.04,133.06,85.31,94.5,47.8557,50.5622,99.94,30.7256,2137.6166,2335.1594
2023-02-15,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,142.38,144.7,107.14,94.5,52.5805,54.9863,99.94,31.449099999999998,2190.1971,2390.1457
2023-02-16,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,146.78,142.31,130.59,94.5,51.2422,54.0771,99.94,32.1606,2241.4393,2444.2228
2023-02-17,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,135.71,132.49,107.44,94.5,47.7712,50.3456,99.94,32.823,2289.2105,2494.5684
2023-02-18,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,134.22,124.28,89.87,94.5,38.3811,47.2267,99.94,33.4444,2327.5916,2541.7951
2023-02-19,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,148.71,168.2,121.15,94.5,54.2335,63.9176,99.94,34.2854,2381.8251,2605.7127
2023-02-20,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,130.74,121.39,142.12,94.5,43.3234,46.1265,99.94,34.8923,2425.1485,2651.8392
2023-02-21,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,143.83,141.34,115.38,94.5,51.0297,53.7099,99.94,35.599000000000004,2476.1782,2705.5491
2023-02-22,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,138.22,142.07,121.96,94.5,51.7346,53.9872,99.93,36.309400000000004,2527.9128,2759.5363
2023-02-23,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,142.3,134.73,120.11,94.5,48.2818,51.1973,99.93,36.983000000000004,2576.1946,2810.7336
2023-02-24,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,124.46,137.03,121.97,94.5,50.5133,52.0717,99.93,37.6682,2626.7079,2862.8053
2023-02-25,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,134.04,133.59,137.54,94.5,41.9681,50.7656,99.93,38.3362,2668.676,2913.5709
2023-02-26,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,160.9,138.0,129.78,94.5,41.7957,52.4412,99.93,39.026199999999996,2710.4717,2966.0121
2023-02-27,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,137.81,140.1,154.1,94.5,50.9105,53.2367,99.93,39.7267,2761.3822,3019.2488
2023-02-28,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,143.38,146.13,148.3,94.5,53.1289,55.5301,99.93,40.4574,2814.5111,3074.7789
2023-03-01,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,144.25,140.67,179.95,94.5,50.7104,53.4544,99.93,41.1607,2865.2215,3128.2333
2023-03-02,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,132.08,158.49,169.57,94.5,59.2467,60.2249,99.92,41.953100000000006,2924.4682,3188.4582
2023-03-03,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,133.52,141.25,173.84,94.5,51.7073,53.6759,99.92,42.6594,2976.1755,3242.1341
2023-03-04,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,133.57,142.14,178.55,94.5,45.2826,54.0146,99.92,43.3701,3021.4581,3296.1487
2023-03-05,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,137.93,131.55,172.95,94.5,40.9139,49.9895,99.92,44.0279,3062.372,3346.1382
2023-03-06,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,146.43,146.72,167.89,94.5,53.1709,55.7536,99.92,44.7615,3115.5429,3401.8918
2023-03-07,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,140.38,122.53,200.0,94.5,43.149,46.5624,99.92,45.3742,3158.6919,3448.4542
2023-03-08,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,131.19,128.37,185.8,94.5,46.3074,48.7806,99.92,46.016000000000005,3204.9993,3497.2348
2023-03-09,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,137.84,133.73,194.34,94.5,48.1608,50.8184,99.92,46.6847,3253.1601,3548.0532
2023-03-10,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,143.03,162.52,156.26,94.5,60.2264,61.7564,99.91,47.497299999999996,3313.3865,3609.8096
2023-03-11,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,136.05,121.1,166.73,94.5,37.0322,46.0167,99.91,48.102799999999995,3350.4187,3655.8263
2023-03-12,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,154.62,147.22,165.67,94.5,45.7677,55.9421,99.91,48.8389,3396.1864,3711.7684
2023-03-13,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,126.84,118.83,162.69,94.5,42.4902,45.1546,99.91,49.433,3438.6766,3756.923
2023-03-14,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,142.73,156.47,193.58,94.5,57.6354,59.4571,99.91,50.2153,3496.312,3816.3801
2023-03-15,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,143.74,126.64,267.95,94.5,44.6898,48.1239,99.91,50.8485,3541.0018,3864.504
2023-03-16,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,140.02,107.4,171.1,94.5,36.6407,40.8114,99.91,51.3855,3577.6425,3905.3154
2023-03-17,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,146.47,139.66,171.07,94.5,50.1224,53.0726,99.91,52.083800000000004,3627.7649,3958.388
2023-03-18,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,140.6,125.06,184.66,94.5,38.236,47.5215,99.91,52.7091,3666.0009,4005.9095
2023-03-19,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,29.4,141.79,87.63,249.37,94.5,23.7887,33.2996,99.9,53.147299999999994,3689.7896,4039.2091
2023-03-20,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,29.4,10.0,99.14,127.35,230.31,94.5,48.0939,48.3937,99.9,53.784099999999995,3737.8835,4087.6028
2023-03-21,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,144.56,125.25,224.29,94.5,44.0338,47.5963,99.9,54.4104,3781.9173,4135.1991
2023-03-22,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,138.36,145.44,206.01,94.5,53.1798,55.268,99.9,55.1376,3835.0971,4190.4671
2023-03-23,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,129.86,136.51,247.88,94.5,49.9147,51.8745,99.9,55.82020000000001,3885.0117999999998,4242.3416
2023-03-24,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,139.65,132.83,175.48,94.5,47.6467,50.4765,99.9,56.484399999999994,3932.6585,4292.8181
2023-03-25,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,18.3,132.22,140.56,228.24,94.5,44.7693,53.4134,99.9,57.187200000000004,3977.4278,4346.2315
2023-03-26,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,18.3,10.0,129.55,152.55,208.9,94.5,49.5574,57.9706,99.9,57.95,4026.9852,4404.2021
2023-03-27,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,152.31,139.15,191.16,94.5,49.4951,52.8774,99.89,58.6458,4076.4803,4457.0795
2023-03-28,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,142.72,140.15,211.27,94.5,50.5907,53.2558,99.89,59.3465,4127.071,4510.3353
2023-03-29,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,148.56,135.52,225.53,94.5,48.1864,51.4965,99.89,60.0241,4175.2574,4561.8318
2023-03-30,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,135.62,148.03,233.49,94.5,54.4886,56.2527,99.89,60.764300000000006,4229.746,4618.0845
2023-03-31,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,138.58,121.73,259.32,94.5,42.9288,46.2582,99.89,61.373000000000005,4272.6748,4664.3427
2023-04-01,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,26.0,139.56,94.81,243.21,94.5,24.9801,36.0264,99.89,61.847,4297.6548999999995,4700.3691
2023-04-02,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,26.0,35.7,105.53,91.48,261.68,94.5,25.9109,34.7638,99.89,62.304399999999994,4323.5658,4735.1329
2023-04-03,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,35.7,10.0,88.86,137.06,272.51,94.5,48.9714,52.082,99.89,62.9897,4372.5372,4787.2149
2023-04-04,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,124.27,145.33,282.81,94.5,50.065,55.2265,99.89,63.7164,4422.6022,4842.4414
2023-04-05,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,141.48,129.49,291.82,94.5,42.7006,49.2062,99.88,64.3639,4465.3028,4891.6476
2023-04-06,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,136.56,149.16,265.28,94.5,50.8252,56.6814,99.88,65.1097,4516.128,4948.329
2023-04-07,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,144.34,115.66,272.23,94.5,37.0276,43.9524,99.88,65.688,4553.1556,4992.2814
2023-04-08,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,52.2,131.67,47.65,290.37,94.5,8.7409,18.1078,99.88,65.9263,4561.8965,5010.3892
2023-04-09,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,52.2,48.4,55.09,56.95,284.74,94.5,16.7879,21.6413,99.88,66.2111,4578.6844,5032.0305
2023-04-10,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,48.4,10.0,56.23,131.55,278.37,94.5,48.8047,49.9888,99.88,66.86880000000001,4627.4891,5082.0193
2023-04-11,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,148.92,145.86,292.23,94.5,48.747,55.4277,99.88,67.5981,4676.2361,5137.447
2023-04-12,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,132.04,143.19,280.17,94.5,48.7314,54.4119,99.88,68.314,4724.9675,5191.8589
2023-04-13,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,139.95,133.9,287.58,94.5,44.5488,50.8827,99.88,68.9835,4769.5163,5242.7416
2023-04-14,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,144.68,142.62,243.73,94.5,47.7194,54.1937,99.87,69.6966,4817.2357,5296.9353
2023-04-15,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,13.4,140.57,118.32,219.24,94.5,33.2568,44.9598,99.87,70.2882,4850.4925,5341.8951
2023-04-16,B001,Berliner Bürogebäude Alpha,DE,self_consumption,LFP,True,10.0,16.7,13.76,0.0,358.48,94.5,0.0,0.0,100.0,70.2882,4850.4925,5341.8951
2023-04-17,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,78.3,10.0,3.53,147.79,233.95,94.5,58.5275,56.1603,99.87,71.02720000000001,4909.02,5398.0554
2023-04-18,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,149.87,137.01,312.09,94.5,45.1686,52.0631,99.87,71.7122,4954.1886,5450.1185
2023-04-19,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,133.97,140.56,345.0,94.5,47.5651,53.4116,99.87,72.415,5001.7537,5503.5301
2023-04-20,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,144.89,151.37,267.87,94.5,51.1887,57.5225,99.87,73.1719,5052.9424,5561.0526
2023-04-21,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,136.64,131.27,311.8,94.5,43.7087,49.8833,99.87,73.8283,5096.6511,5610.9359
2023-04-22,B001,Berliner Bürogebäude Alpha,DE,tou,LFP,True,10.0,21.8,40.77,16.85,331.43,94.5,1.5556,6.4049,99.96,73.9126,5098.2067,5617.3408
2023-04-23,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,70.4,57.5,19.5,43.84,309.25,94.5,14.3434,16.6593,99.87,74.1318,5112.5501,5634.0001
2023-04-24,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,57.5,10.0,47.41,157.61,389.67,94.5,59.712,59.8933,99.87,74.9199,5172.2621,5693.8934
2023-04-25,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,146.59,138.17,308.01,94.5,45.8345,52.505,99.86,75.6108,5218.0966,5746.3984
2023-04-26,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,142.79,124.85,324.4,94.5,40.7767,47.4444,99.86,76.2351,5258.8733,5793.8428
2023-04-27,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,138.47,155.79,301.4,94.5,53.343,59.202,99.86,77.0141,5312.2163,5853.0448
2023-04-28,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,135.44,126.87,373.36,94.5,42.0326,48.2094,99.86,77.6484,5354.2489,5901.2542
2023-04-29,B001,Berliner Bürogebäude Alpha,DE,self_consumption,LFP,True,10.0,40.2,62.09,0.0,408.39,94.5,0.0,0.0,100.0,77.6484,5354.2489,5901.2542
2023-04-30,B001,Berliner Bürogebäude Alpha,DE,self_consumption,LFP,True,40.2,51.2,22.7,0.0,370.23,94.5,0.0,0.0,100.0,77.6484,5354.2489,5901.2542
2023-05-01,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,89.9,10.0,0.0,160.0,411.66,94.5,63.5999,60.7999,99.86,78.4484,5417.8488,5962.0541
2023-05-02,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,150.63,126.21,316.12,94.5,40.83,47.9606,99.86,79.0795,5458.6788,6010.0147
2023-05-03,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,147.21,141.66,288.04,94.5,47.1813,53.8296,99.86,79.7878,5505.8601,6063.8443
2023-05-04,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,145.98,128.93,340.9,94.5,42.2001,48.9946,99.86,80.4325,5548.0602,6112.8389
2023-05-05,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,146.23,124.21,390.51,94.5,40.3059,47.1986,99.85,81.0535,5588.3661,6160.0375
2023-05-06,B001,Berliner Bürogebäude Alpha,DE,self_consumption,LFP,True,10.0,34.4,50.2,0.0,395.71,94.5,0.0,0.0,100.0,81.0535,5588.3661,6160.0375
2023-05-07,B001,Berliner Bürogebäude Alpha,DE,self_consumption,LFP,True,34.4,45.1,21.97,0.0,366.68,94.5,0.0,0.0,100.0,81.0535,5588.3661,6160.0375
2023-05-08,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,89.4,10.0,0.0,166.39,304.8,94.5,66.1389,63.2271,99.85,81.8854,5654.505,6223.2646
2023-05-09,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,130.43,141.14,373.64,94.5,48.016,53.6327,99.85,82.59110000000001,5702.521,6276.8973
2023-05-10,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,131.37,145.33,408.92,94.5,49.6237,55.2255,99.85,83.3178,5752.1447,6332.1228
2023-05-11,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,144.38,142.11,409.2,94.5,47.5367,54.0013,99.85,84.0283,5799.6814,6386.1241
2023-05-12,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,144.07,128.51,430.71,94.5,42.1499,48.8336,99.85,84.6708,5841.8313,6434.9577
2023-05-13,B001,Berliner Bürogebäude Alpha,DE,self_consumption,LFP,True,10.0,63.7,110.48,0.0,456.26,94.5,0.0,0.0,100.0,84.6708,5841.8313,6434.9577
2023-05-14,B001,Berliner Bürogebäude Alpha,DE,self_consumption,LFP,True,63.7,82.0,37.75,0.0,384.23,94.5,0.0,0.0,100.0,84.6708,5841.8313,6434.9577
2023-05-15,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,94.6,10.0,0.0,173.93,339.44,94.5,69.1383,66.0945,99.85,85.5405,5910.9696,6501.0522
2023-05-16,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,138.16,137.13,419.36,94.5,45.945,52.1108,99.84,86.2262,5956.9146,6553.163
2023-05-17,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,137.89,143.49,427.94,94.5,48.4883,54.5261,99.84,86.9436,6005.4029,6607.6891
2023-05-18,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,145.12,132.51,374.0,94.5,43.6746,50.3533,99.84,87.60610000000001,6049.0775,6658.0424
2023-05-19,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,142.21,139.74,419.06,94.5,46.7308,53.1025,99.84,88.3048,6095.8083,6711.1449
2023-05-20,B001,Berliner Bürogebäude Alpha,DE,self_consumption,LFP,True,10.0,46.1,74.31,0.0,420.66,94.5,0.0,0.0,100.0,88.3048,6095.8083,6711.1449
2023-05-21,B001,Berliner Bürogebäude Alpha,DE,self_consumption,LFP,True,46.1,72.1,53.42,0.0,399.43,94.5,0.0,0.0,100.0,88.3048,6095.8083,6711.1449
