malo_id,dso_name,stage,event_ts,message_type,error_code,note
17417694597,Rheinnetz,UTILMD_SENT,2025-03-04 00:00:00,UTILMD,,
45855425961,Netz Leipzig,CONTRACT_SIGNED,2024-10-31 00:00:00,,,
70348049725,Netz Leipzig,UTILMD_SENT,2025-01-30 00:00:00,UTILMD,,
13733263538,SWM Infrastruktur,CONTRACT_SIGNED,2024-11-05 00:00:00,,,
94391268065,Stromnetz Berlin,CONTRL_ACK,2025-02-02 00:00:00,CONTRL,,
52784051030,SWM Infrastruktur,FIRST_INVOICE,2025-03-16 00:00:00,INVOIC,,
02060690718,Stromnetz Berlin,FIRST_INVOICE,2024-11-11 00:00:00,INVOIC,,
55457754991,Stromnetz Berlin,CONTRACT_SIGNED,2024-12-13 00:00:00,,,
65400074314,Netze BW,FIRST_INVOICE,2024-11-19 00:00:00,INVOIC,,
07412179067,Netze BW,UTILMD_SENT,2024-12-07 00:00:00,UTILMD,,
66586652381,Rheinnetz,UTILMD_SENT,2024-12-04 00:00:00,UTILMD,,
70348049725,Netz Leipzig,CONTRACT_SIGNED,2025-01-28 00:00:00,,,
64853594978,Netz Leipzig,SUPPLY_START,2025-03-06 00:00:00,UTILMD,,
66586652381,Rheinnetz,SUPPLY_START,2024-12-26 00:00:00,UTILMD,,
53850487964,Rheinnetz,UTILMD_SENT,2025-01-02 00:00:00,UTILMD,,
50096239004,Netz Leipzig,SUPPLY_START,2025-02-08 00:00:00,UTILMD,,
64853594978,Netz Leipzig,FIRST_INVOICE,2025-04-04 00:00:00,INVOIC,,
07412179067,Netze BW,FIRST_INVOICE,2025-02-06 00:00:00,INVOIC,,
53850487964,Rheinnetz,UTILMD_SENT,2025-01-08 00:00:00,UTILMD,,
65400074314,Netze BW,CONTRL_ACK,2024-09-09 00:00:00,CONTRL,,
49114475696,Stromnetz Hamburg,SUPPLY_START,2024-11-04 00:00:00,UTILMD,,
58143754480,Netz Leipzig,UTILMD_SENT,2024-09-25 00:00:00,UTILMD,,
94391268065,Stromnetz Berlin,CONTRACT_SIGNED,2025-01-29 00:00:00,,,
51451020772,Netz Leipzig,UTILMD_SENT,2025-01-19 00:00:00,UTILMD,,
19754516392,Stromnetz Berlin,CONTRL_ACK,2024-12-23 00:00:00,CONTRL,,
66586652381,Rheinnetz,CONTRACT_SIGNED,2024-12-01 00:00:00,,,
83482028030,SWM Infrastruktur,FIRST_INVOICE,2025-01-12 00:00:00,INVOIC,,
45855425961,Netz Leipzig,CONTRL_ACK,2024-11-05 00:00:00,CONTRL,,
19554292257,Stromnetz Berlin,SUPPLY_START,2024-11-21 00:00:00,UTILMD,,
48126289103,Stromnetz Berlin,UTILMD_SENT,2024-09-21 00:00:00,UTILMD,,
58143754480,Netz Leipzig,FIRST_INVOICE,2024-11-29 00:00:00,INVOIC,,
02060690718,Stromnetz Berlin,UTILMD_SENT,2024-09-13 00:00:00,UTILMD,,
02378447181,Netz Leipzig,CONTRL_ACK,2025-01-14 00:00:00,CONTRL,,
19754516392,Stromnetz Berlin,FIRST_INVOICE,2025-03-06 00:00:00,INVOIC,,
13733263538,SWM Infrastruktur,FIRST_INVOICE,2025-01-12 00:00:00,INVOIC,,
17417694597,Rheinnetz,SUPPLY_START,2025-03-28 00:00:00,UTILMD,,
17417694597,Rheinnetz,CONTRACT_SIGNED,2025-03-03 00:00:00,,,
65400074314,Netze BW,CONTRACT_SIGNED,2024-09-03 00:00:00,,,
49114475696,Stromnetz Hamburg,CONTRACT_SIGNED,2024-09-30 00:00:00,,,
91797430928,Netz Leipzig,SUPPLY_START,2025-03-25 00:00:00,UTILMD,,
50096239004,Netz Leipzig,UTILMD_SENT,2025-01-21 00:00:00,UTILMD,,
94391268065,Stromnetz Berlin,SUPPLY_START,2025-02-19 00:00:00,UTILMD,,
66586652381,Rheinnetz,FIRST_INVOICE,2025-02-18 00:00:00,INVOIC,,
91797430928,Netz Leipzig,CONTRACT_SIGNED,2025-02-20 00:00:00,,,
15096034392,Stromnetz Berlin,CONTRL_ACK,2025-02-10 00:00:00,CONTRL,,
04014447556,Stromnetz Berlin,CONTRACT_SIGNED,2025-03-17 00:00:00,,,
49114475696,Stromnetz Hamburg,UTILMD_SENT,2024-10-02 00:00:00,UTILMD,,
69410910768,Stromnetz Hamburg,CONTRACT_SIGNED,2025-03-12 00:00:00,,,
48126289103,Stromnetz Berlin,SUPPLY_START,2024-10-10 00:00:00,UTILMD,,
04014447556,Stromnetz Berlin,UTILMD_SENT,2025-03-20 00:00:00,UTILMD,,
49114475696,Stromnetz Hamburg,UTILMD_SENT,2024-10-14 00:00:00,UTILMD,,
50096239004,Netz Leipzig,FIRST_INVOICE,2025-03-10 00:00:00,INVOIC,,
50096239004,Netz Leipzig,CONTRL_ACK,2025-01-24 00:00:00,CONTRL,,
69410910768,Stromnetz Hamburg,UTILMD_SENT,2025-03-15 00:00:00,UTILMD,,
53850487964,Rheinnetz,CONTRACT_SIGNED,2024-12-08 00:00:00,,,
15096034392,Stromnetz Berlin,CONTRACT_SIGNED,2025-02-04 00:00:00,,,
52784051030,SWM Infrastruktur,UTILMD_SENT,2024-12-26 00:00:00,UTILMD,,
59028472520,Netze BW,FIRST_INVOICE,2025-04-18 00:00:00,INVOIC,,
48126289103,Stromnetz Berlin,CONTRACT_SIGNED,2024-09-18 00:00:00,,,
65400074314,Netze BW,SUPPLY_START,2024-09-22 00:00:00,UTILMD,,
91797430928,Netz Leipzig,CONTRL_ACK,2025-03-11 00:00:00,CONTRL,,
45855425961,Netz Leipzig,UTILMD_SENT,2024-11-02 00:00:00,UTILMD,,
19554292257,Stromnetz Berlin,UTILMD_SENT,2024-10-30 00:00:00,UTILMD,,
58143754480,Netz Leipzig,SUPPLY_START,2024-10-23 00:00:00,UTILMD,,
59028472520,Netze BW,CONTRL_ACK,2025-02-13 00:00:00,CONTRL,,
07412179067,Netze BW,CONTRACT_SIGNED,2024-12-03 00:00:00,,,
55457754991,Stromnetz Berlin,UTILMD_SENT,2024-12-16 00:00:00,UTILMD,,
83482028030,SWM Infrastruktur,SUPPLY_START,2024-12-15 00:00:00,UTILMD,,
69410910768,Stromnetz Hamburg,SUPPLY_START,2025-04-10 00:00:00,UTILMD,,
61804172126,Netze BW,FIRST_INVOICE,2024-12-19 00:00:00,INVOIC,,
52784051030,SWM Infrastruktur,CONTRL_ACK,2024-12-29 00:00:00,CONTRL,,
13733263538,SWM Infrastruktur,UTILMD_SENT,2024-11-06 00:00:00,UTILMD,,
55457754991,Stromnetz Berlin,CONTRL_ACK,2024-12-18 00:00:00,CONTRL,,
66586652381,Rheinnetz,CONTRL_ACK,2024-12-06 00:00:00,CONTRL,,
02378447181,Netz Leipzig,SUPPLY_START,2025-01-29 00:00:00,UTILMD,,
04014447556,Stromnetz Berlin,FIRST_INVOICE,2025-05-27 00:00:00,INVOIC,,
17417694597,Rheinnetz,CONTRL_ACK,2025-03-07 00:00:00,CONTRL,,
53850487964,Rheinnetz,UTILMD_SENT,2024-12-19 00:00:00,UTILMD,,
53850487964,Rheinnetz,APERAK_REJECT,2024-12-18 00:00:00,APERAK,E_0018,Master data mismatch (name/address)
59028472520,Netze BW,CONTRACT_SIGNED,2025-02-10 00:00:00,,,
91797430928,Netz Leipzig,UTILMD_SENT,2025-02-21 00:00:00,UTILMD,,
55457754991,Stromnetz Berlin,FIRST_INVOICE,2025-02-24 00:00:00,INVOIC,,
51451020772,Netz Leipzig,UTILMD_SENT,2025-01-28 00:00:00,UTILMD,,
04014447556,Stromnetz Berlin,CONTRL_ACK,2025-03-22 00:00:00,CONTRL,,
49114475696,Stromnetz Hamburg,FIRST_INVOICE,2024-12-11 00:00:00,INVOIC,,
19554292257,Stromnetz Berlin,CONTRACT_SIGNED,2024-10-29 00:00:00,,,
13733263538,SWM Infrastruktur,SUPPLY_START,2024-12-03 00:00:00,UTILMD,,
94391268065,Stromnetz Berlin,FIRST_INVOICE,2025-04-18 00:00:00,INVOIC,,
19554292257,Stromnetz Berlin,FIRST_INVOICE,2024-12-23 00:00:00,INVOIC,,
52784051030,SWM Infrastruktur,SUPPLY_START,2025-01-14 00:00:00,UTILMD,,
83482028030,SWM Infrastruktur,UTILMD_SENT,2024-11-23 00:00:00,UTILMD,,
58143754480,Netz Leipzig,APERAK_REJECT,2024-09-19 00:00:00,APERAK,E_0018,Master data mismatch (name/address)
65400074314,Netze BW,UTILMD_SENT,2024-09-06 00:00:00,UTILMD,,
13733263538,SWM Infrastruktur,CONTRL_ACK,2024-11-09 00:00:00,CONTRL,,
91797430928,Netz Leipzig,APERAK_REJECT,2025-02-26 00:00:00,APERAK,E_0001,MaLo-ID unknown at DSO
53850487964,Rheinnetz,APERAK_REJECT,2025-01-07 00:00:00,APERAK,E_0099,Requested supply start date not permitted
48126289103,Stromnetz Berlin,CONTRL_ACK,2024-09-24 00:00:00,CONTRL,,
70348049725,Netz Leipzig,SUPPLY_START,2025-02-22 00:00:00,UTILMD,,
58143754480,Netz Leipzig,CONTRACT_SIGNED,2024-09-16 00:00:00,,,
